tokenized_text,ner
"[""Find"", ""work"", ""Landesverein"", ""S\u00e4chsischer"", ""Heimatschutz"", ""\u2014"", ""Mitteilungen"", ""Band"", ""XII"", "","", ""Heft"", ""1-3"", "","", ""composer"", ""Landesverein"", ""S\u00e4chsischer"", ""Heimatschutz"", "".""]","[{""start"": 2, ""end"": 11, ""label"": ""title""}, {""start"": 2, ""end"": 4, ""label"": ""author""}]"
"[""Tell"", ""me"", ""about"", ""the"", ""writer"", ""United"", ""States"", ""."", ""Navy"", ""Department"", ""."", ""Bureau"", ""of"", ""Ordnance"", "".""]","[{""start"": 5, ""end"": 13, ""label"": ""author""}]"
"[""ANY"", ""RECOMMENDATIONS"", ""BY"", ""STEVENSON"", "","", ""ROBERT"", ""LOUIS"", "","", ""1850-1894"", ""AND"", ""OSBOURNE"", "","", ""LLOYD"", "","", ""1868-1947"", ""?""]","[{""start"": 3, ""end"": 8, ""label"": ""author""}, {""start"": 10, ""end"": 14, ""label"": ""author""}]"
"[""I"", ""'"", ""M"", ""INTERESTED"", ""IN"", ""TOWER"", ""'"", ""S"", ""LITTLE"", ""PRIMER"", "","", ""FOR"", ""THE"", ""YOUNGEST"", ""CLASS"", ""IN"", ""PRIMARY"", ""SCHOOL"", "".""]","[{""start"": 5, ""end"": 17, ""label"": ""title""}]"
"[""Requesting"", ""Information"", ""On"", ""Trial"", ""Of"", ""The"", ""Major"", ""War"", ""Criminals"", ""Before"", ""The"", ""International"", ""Military"", ""Tribunal"", "","", ""Nuremburg"", "","", ""14"", ""November"", ""1945-1"", ""October"", ""1946"", "","", ""Volume"", ""17"", ""("", ""Various"", "")"", "".""]","[{""start"": 3, ""end"": 24, ""label"": ""title""}, {""start"": 26, ""end"": 26, ""label"": ""author""}]"
"[""Find"", ""Title"", ""Albert"", ""Durer"", ""A"", ""Venise"", ""Et"", ""Dans"", ""Les"", ""Pays-Bas"", ""Autobiographie"", "","", ""Lettres"", "","", ""Journal"", ""De"", ""Voyages"", "","", ""Papiers"", ""Divers"", "","", ""Originator"", ""D\u00fcrer"", "","", ""Albrecht"", "","", ""1471-1528"", ""And"", ""Narrey"", "","", ""Charles"", "","", ""1825-1892"", ""["", ""Translator"", ""]"", "".""]","[{""start"": 2, ""end"": 19, ""label"": ""title""}, {""start"": 22, ""end"": 26, ""label"": ""author""}, {""start"": 28, ""end"": 35, ""label"": ""author""}]"
"[""Requesting"", ""information"", ""on"", ""Studies"", ""in"", ""love"", ""and"", ""in"", ""terror"", ""("", ""Lowndes"", "","", ""Marie"", ""Belloc"", "","", ""1868-1947"", "")"", "".""]","[{""start"": 3, ""end"": 8, ""label"": ""title""}, {""start"": 10, ""end"": 15, ""label"": ""author""}]"
"[""I'm"", ""thinking"", ""of"", ""picking"", ""up"", ""Incendiary"", ""by"", ""Amy"", ""A."", ""Bartol"", ""(Goodreads"", ""Author)"", ""tonight"", "".""]","[[5, 5, ""title""], [7, 11, ""author""]]"
"[""Where"", ""Can"", ""I"", ""Find"", ""Cato"", "":"", ""A"", ""Tragedy"", "","", ""In"", ""Five"", ""Acts"", ""?""]","[{""start"": 4, ""end"": 11, ""label"": ""title""}]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Dragons"", ""of"", ""Eden"", "":"", ""Speculations"", ""on"", ""the"", ""Evolution"", ""of"", ""Human"", ""Intelligence"", "".""]","[[6, 16, ""title""]]"
"[""I"", ""just"", ""finished"", ""Hidden"", ""Valley"", ""Road"", "":"", ""Inside"", ""the"", ""Mind"", ""of"", ""an"", ""American"", ""Family"", "","", ""and"", ""Robert"", ""Kolker"", ""is"", ""a"", ""genius"", "".""]","[[3, 13, ""title""], [16, 17, ""author""]]"
"[""Various"", ""'"", ""s"", ""work"", "":"", ""Punchinello"", "","", ""Volume"", ""1"", "","", ""No"", ""."", ""02"", "","", ""April"", ""9"", "","", ""1870"", "".""]","[{""start"": 5, ""end"": 17, ""label"": ""title""}, {""start"": 0, ""end"": 0, ""label"": ""author""}]"
"[""I"", ""think"", ""The"", ""Judgment"", ""of"", ""Paris"", ""is"", ""fascinating"", "","", ""Ross"", ""King"", ""did"", ""a"", ""great"", ""job""]","[[2, 5, ""title""], [9, 10, ""author""]]"
"[""I"", ""just"", ""read"", ""Messiah's"", ""Handbook:"", ""Reminders"", ""for"", ""the"", ""Advanced"", ""Soul"", ""by"", ""Richard"", ""Bach""]","[[3, 9, ""title""], [11, 12, ""author""]]"
"[""i"", ""'"", ""m"", ""interested"", ""in"", ""aline"", ""et"", ""valcour"", "","", ""ou"", ""le"", ""roman"", ""philosophique"", ""."", ""tome"", ""1"", "".""]","[{""start"": 5, ""end"": 15, ""label"": ""title""}]"
"[""Show"", ""me"", ""A"", ""tragikum"", ""by"", ""Be\u00f6thy"", "","", ""Zsolt"", "","", ""1848-1922"", "".""]","[{""start"": 2, ""end"": 3, ""label"": ""title""}, {""start"": 5, ""end"": 9, ""label"": ""author""}]"
"[""Have"", ""you"", ""read"", ""Wonderland"", ""Avenue"", "":"", ""Tales"", ""of"", ""Glamour"", ""and"", ""Excess"", ""yet"", ""?"", ""Danny"", ""Sugerman"", ""and"", ""Ralph"", ""Steadman"", ""("", ""Illustrator"", "")"", ""collaborated"", ""on"", ""it"", "".""]","[[3, 10, ""title""], [13, 14, ""author""], [16, 17, ""author""]]"
"[""TELL"", ""ME"", ""MORE"", ""ABOUT"", ""FIVE"", ""THOUSAND"", ""MILES"", ""UNDERGROUND"", "";"", ""OR"", "","", ""THE"", ""MYSTERY"", ""OF"", ""THE"", ""CENTRE"", ""OF"", ""THE"", ""EARTH"", "".""]","[{""start"": 4, ""end"": 18, ""label"": ""title""}]"
"[""Storms"", "","", ""William"", ""H"", ""."", "","", ""1859"", ""-"", ""And"", ""Fairbanks"", "","", ""Harold"", ""W"", ""."", ""("", ""Harold"", ""Wellman"", "")"", "","", ""1860"", ""-"", ""'"", ""S"", ""Text"", "":"", ""Old"", ""Mines"", ""Of"", ""Southern"", ""California"", ""Desert-Mountain-Coastal"", ""Areas"", ""Including"", ""The"", ""Calico-Salton"", ""Sea"", ""Colorado"", ""River"", ""Districts"", ""And"", ""Southern"", ""Counties"", "".""]","[{""start"": 25, ""end"": 41, ""label"": ""title""}, {""start"": 0, ""end"": 7, ""label"": ""author""}, {""start"": 9, ""end"": 20, ""label"": ""author""}]"
"[""Is"", ""Last"", ""Call"", ""for"", ""Doomsday"", ""!"", ""by"", ""Hamilton"", "","", ""Edmond"", "","", ""1904-1977"", ""available"", ""?""]","[{""start"": 1, ""end"": 5, ""label"": ""title""}, {""start"": 7, ""end"": 11, ""label"": ""author""}]"
"[""Find"", ""novel"", ""The"", ""Book"", ""of"", ""the"", ""Thousand"", ""Nights"", ""and"", ""a"", ""Night"", ""\u2014"", ""Volume"", ""12"", ""["", ""Supplement"", ""]"", "","", ""composer"", ""Burton"", "","", ""Richard"", ""Francis"", "","", ""Sir"", "","", ""1821-1890"", ""["", ""Translator"", ""]"", "".""]","[{""start"": 2, ""end"": 16, ""label"": ""title""}, {""start"": 19, ""end"": 29, ""label"": ""author""}]"
"[""That"", ""happened"", ""with"", ""\u0645\u0627"", ""\u062a\u0628\u0642\u0649"", ""\u0644\u0643\u0645"", ""by"", ""Ghassan"", ""Kanafani"", "","", ""honestly"", "".""]","[[3, 5, ""title""], [7, 8, ""author""]]"
"[""searching"", ""for"", ""the"", ""manuscript"", ""called"", ""kaleri-orja"", "":"", ""kertomus"", ""rahvaan"", ""perheille"", "".""]","[{""start"": 5, ""end"": 9, ""label"": ""title""}]"
"[""I"", ""loved"", ""Pearl"", ""Cove"", ""by"", ""Elizabeth"", ""Lowell"", "","", ""such"", ""a"", ""cozy"", ""read"", "".""]","[[2, 3, ""title""], [5, 6, ""author""]]"
"[""HAVE"", ""YOU"", ""HEARD"", ""OF"", ""THE"", ""MANUSCRIPT"", ""MAGIC"", ""LONDON"", ""?""]","[{""start"": 6, ""end"": 7, ""label"": ""title""}]"
"[""That"", ""Vengeful"", ""by"", ""Robert"", ""J."", ""Crane"", ""was"", ""wild"", "","", ""right"", ""?""]","[[1, 1, ""title""], [3, 5, ""author""]]"
"[""What"", ""is"", ""the"", ""story"", ""Handboek"", ""voor"", ""Bijenhouders"", ""about"", ""?""]","[{""start"": 4, ""end"": 6, ""label"": ""title""}]"
"[""Find"", ""work"", ""Reden"", ""an"", ""die"", ""deutsche"", ""Nation"", "","", ""author"", ""Fichte"", "","", ""Johann"", ""Gottlieb"", "","", ""1762-1814"", "".""]","[{""start"": 2, ""end"": 6, ""label"": ""title""}, {""start"": 9, ""end"": 14, ""label"": ""author""}]"
"[""REQUESTING"", ""INFORMATION"", ""ON"", ""A"", ""MAID"", ""OF"", ""BRITTANY"", "":"", ""A"", ""ROMANCE"", ""("", ""KNOWLES"", "","", ""MABEL"", ""WINIFRED"", "","", ""1875-1949"", ""AND"", ""BROCK"", "","", ""H"", ""."", ""M"", ""."", ""("", ""HENRY"", ""MATTHEW"", "")"", "","", ""1875-1960"", ""["", ""ILLUSTRATOR"", ""]"", "")"", "".""]","[{""start"": 3, ""end"": 9, ""label"": ""title""}, {""start"": 11, ""end"": 16, ""label"": ""author""}, {""start"": 18, ""end"": 32, ""label"": ""author""}]"
"[""i"", ""like"", ""the"", ""scribe"", ""masefield"", "","", ""john"", "","", ""1878-1967"", "".""]","[{""start"": 4, ""end"": 8, ""label"": ""author""}]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Objectivism"", "":"", ""The"", ""Philosophy"", ""of"", ""Ayn"", ""Rand"", ""by"", ""Leonard"", ""Peikoff""]","[[6, 12, ""title""], [14, 15, ""author""]]"
"[""WHAT"", ""IS"", ""THE"", ""TITLE"", ""INA\u016cGURA"", ""PAROLADO"", ""DE"", ""BARACK"", ""OBAMA"", ""20-A"", ""DE"", ""JANUARO"", "","", ""2009"", ""ABOUT"", ""?""]","[{""start"": 4, ""end"": 13, ""label"": ""title""}]"
"[""You"", ""should"", ""totally"", ""check"", ""out"", ""The"", ""Pioneer"", ""Woman"", "":"", ""Black"", ""Heels"", ""to"", ""Tractor"", ""Wheels"", "","", ""by"", ""Ree"", ""Drummond"", "".""]","[[5, 13, ""title""], [16, 17, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Plainsong"", "","", ""I"", ""should"", ""check"", ""it"", ""out"", "".""]","[[6, 6, ""title""]]"
"[""Looking"", ""for"", ""Automatic"", ""finger"", ""control"", ""Seventh"", ""Edition"", "","", ""the"", ""work"", ""from"", ""U"", ""."", ""S"", ""."", ""School"", ""of"", ""Music"", "".""]","[{""start"": 2, ""end"": 6, ""label"": ""title""}, {""start"": 11, ""end"": 17, ""label"": ""author""}]"
"[""Searching"", ""For"", ""The"", ""Publication"", ""Called"", ""Some"", ""Common"", ""Birds"", ""Useful"", ""To"", ""The"", ""Farmer"", ""("", ""1915"", ""Edition"", "")"", "".""]","[{""start"": 5, ""end"": 15, ""label"": ""title""}]"
"[""Show"", ""Me"", ""Reform"", ""Cookery"", ""Book"", ""("", ""4Th"", ""Edition"", "")"", ""Up-To-Date"", ""Health"", ""Cookery"", ""For"", ""The"", ""Twentieth"", ""Century"", ""."", ""By"", ""Mill"", "","", ""Mrs"", ""."", ""("", ""Jean"", ""Oliver"", "")"", "".""]","[{""start"": 2, ""end"": 16, ""label"": ""title""}, {""start"": 18, ""end"": 25, ""label"": ""author""}]"
"[""I"", ""just"", ""finished"", ""Back"", ""on"", ""Blossom"", ""Street"", ""by"", ""Debbie"", ""Macomber"", ""and"", ""cried"", ""a"", ""little"", "".""]","[[3, 6, ""title""], [8, 9, ""author""]]"
"[""list"", ""works"", ""from"", ""the"", ""scribe"", ""j\u00f3kai"", "","", ""m\u00f3r"", "","", ""1825-1904"", ""and"", ""kennard"", "","", ""hegan"", "","", ""mrs"", ""."", ""["", ""translator"", ""]"", "".""]","[{""start"": 5, ""end"": 9, ""label"": ""author""}, {""start"": 11, ""end"": 19, ""label"": ""author""}]"
"[""I'm"", ""reading"", ""The"", ""Pianist"", "":"", ""The"", ""Extraordinary"", ""Story"", ""of"", ""One"", ""Man's"", ""Survival"", ""in"", ""Warsaw"", "","", ""1939\u201345"", ""."", ""Who"", ""wrote"", ""this"", ""anyway"", ""?""]","[[2, 15, ""title""]]"
"[""is"", ""le"", ""chevalier"", ""sarti"", ""a"", ""good"", ""read"", ""?""]","[{""start"": 1, ""end"": 3, ""label"": ""title""}]"
"[""Searching"", ""For"", ""The"", ""Scribe"", ""Keable"", "","", ""Robert"", "","", ""1887-1927"", "".""]","[{""start"": 4, ""end"": 8, ""label"": ""author""}]"
"[""List"", ""Works"", ""From"", ""The"", ""Author"", ""Carrington"", "","", ""Hereward"", "","", ""1880-1959"", ""And"", ""Haldeman-Julius"", "","", ""E"", ""."", ""("", ""Emanuel"", "")"", "","", ""1888-1951"", ""["", ""Editor"", ""]"", "".""]","[{""start"": 5, ""end"": 9, ""label"": ""author""}, {""start"": 11, ""end"": 22, ""label"": ""author""}]"
"[""Where"", ""can"", ""I"", ""find"", ""Three"", ""Young"", ""Pioneers"", ""A"", ""Story"", ""of"", ""the"", ""Early"", ""Settlement"", ""of"", ""Our"", ""Country"", ""?""]","[{""start"": 4, ""end"": 15, ""label"": ""title""}]"
"[""i"", ""want"", ""to"", ""read"", ""the"", ""jargon"", ""file"", "","", ""version"", ""4"", ""."", ""0"", ""."", ""0"", "","", ""24"", ""jul"", ""1996"", ""by"", ""raymond"", "","", ""eric"", ""s"", ""."", "","", ""1957"", ""-"", ""["", ""editor"", ""]"", ""and"", ""steele"", "","", ""guy"", ""l"", ""."", "","", ""1954"", ""-"", ""["", ""editor"", ""]"", "".""]","[{""start"": 4, ""end"": 17, ""label"": ""title""}, {""start"": 19, ""end"": 29, ""label"": ""author""}, {""start"": 31, ""end"": 41, ""label"": ""author""}]"
"[""Any"", ""recommendations"", ""by"", ""Bengough"", "","", ""Elisa"", ""Armstrong"", "","", ""-"", ""1929"", ""?""]","[{""start"": 3, ""end"": 9, ""label"": ""author""}]"
"[""I"", ""just"", ""finished"", ""Franny"", ""and"", ""Zooey"", "","", ""John"", ""Lenahan"", ""is"", ""a"", ""genius""]","[[3, 5, ""title""], [7, 8, ""author""]]"
"[""SEARCHING"", ""FOR"", ""THE"", ""NOVELIST"", ""MCKENZIE"", "","", ""J"", ""."", ""H"", ""."", "".""]","[{""start"": 4, ""end"": 9, ""label"": ""author""}]"
"[""I"", ""want"", ""to"", ""read"", ""Punch"", "","", ""or"", ""the"", ""London"", ""Charivari"", "","", ""Vol"", ""."", ""147"", "","", ""July"", ""29"", "","", ""1914"", ""by"", ""Various"", "".""]","[{""start"": 4, ""end"": 18, ""label"": ""title""}, {""start"": 20, ""end"": 20, ""label"": ""author""}]"
"[""I"", ""just"", ""finished"", ""Exile"", ""by"", ""R.A."", ""Salvatore"", ""and"", ""wow"", "","", ""it's"", ""dark"", "".""]","[[3, 3, ""title""], [5, 6, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Elites"", ""of"", ""Eden"", "","", ""is"", ""it"", ""any"", ""good"", ""?""]","[[6, 8, ""title""]]"
"[""WHAT"", ""IS"", ""THE"", ""PUBLICATION"", ""THE"", ""ERRAND"", ""BOY"", "";"", ""OR"", "","", ""HOW"", ""PHIL"", ""BRENT"", ""WON"", ""SUCCESS"", ""ABOUT"", ""?""]","[{""start"": 4, ""end"": 14, ""label"": ""title""}]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Honeysuckle"", ""and"", ""Jasmine"", "","", ""is"", ""it"", ""any"", ""good"", ""?""]","[[6, 8, ""title""]]"
"[""IS"", ""THE"", ""LATER"", ""LIFE"", ""A"", ""GOOD"", ""READ"", ""?""]","[{""start"": 1, ""end"": 3, ""label"": ""title""}]"
"[""Is"", ""The"", ""Great"", ""God"", ""Pan"", ""a"", ""good"", ""read"", ""?""]","[{""start"": 1, ""end"": 4, ""label"": ""title""}]"
"[""What"", ""is"", ""the"", ""title"", ""The"", ""History"", ""of"", ""Don"", ""Quixote"", "","", ""Volume"", ""2"", "","", ""Part"", ""32"", ""about"", ""?""]","[{""start"": 4, ""end"": 14, ""label"": ""title""}]"
"[""I"", ""just"", ""finished"", ""A"", ""Song"", ""for"", ""Lya"", "":"", ""And"", ""Other"", ""Stories"", ""by"", ""George"", ""R.R."", ""Martin"", "","", ""and"", ""wow"", "".""]","[[3, 10, ""title""], [12, 14, ""author""]]"
"[""I"", ""just"", ""finished"", ""Bone"", ""Thief"", ""by"", ""Thomas"", ""O'Callaghan"", "","", ""it's"", ""wild"", "".""]","[[3, 4, ""title""], [6, 7, ""author""]]"
"[""find"", ""titles"", ""attributed"", ""to"", ""shelley"", "","", ""mary"", ""wollstonecraft"", "","", ""1797-1851"", "".""]","[{""start"": 4, ""end"": 9, ""label"": ""author""}]"
"[""IS"", ""UN"", ""'"", ""AVVENTURA"", ""DI"", ""VIAGGIO"", ""A"", ""GOOD"", ""READ"", ""?""]","[{""start"": 1, ""end"": 5, ""label"": ""title""}]"
"[""I"", ""just"", ""finished"", ""Come"", ""Find"", ""Me"", ""by"", ""Travis"", ""Neighbor"", ""Ward"", "".""]","[[3, 5, ""title""], [7, 9, ""author""]]"
"[""Tell"", ""Me"", ""About"", ""The"", ""Creator"", ""Str\u00f6mberg"", "","", ""Sigge"", "","", ""1885-1920"", "".""]","[{""start"": 5, ""end"": 9, ""label"": ""author""}]"
"[""I"", ""just"", ""finished"", ""Capit\u00e3es"", ""da"", ""Areia"", ""by"", ""Jorge"", ""Amado"", ""and"", ""wow"", "".""]","[[3, 5, ""title""], [7, 8, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""raving"", ""about"", ""Two"", ""on"", ""a"", ""Tower"", ""by"", ""Thomas"", ""Hardy"", "","", ""is"", ""it"", ""any"", ""good"", ""?""]","[[6, 9, ""title""], [11, 12, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Tigers"", ""in"", ""Red"", ""Weather"", "".""]","[[6, 9, ""title""]]"
"[""Recommend"", ""Schedule"", ""Of"", ""Salaries"", ""For"", ""Teachers"", "","", ""Members"", ""Of"", ""The"", ""Supervising"", ""Staff"", ""And"", ""Others"", ""."", ""January"", ""1-August"", ""31"", "","", ""1920"", "","", ""Inclusive"", ""?""]","[{""start"": 1, ""end"": 21, ""label"": ""title""}]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Montezuma's"", ""Daughter"", "","", ""is"", ""it"", ""any"", ""good"", ""?""]","[[6, 7, ""title""]]"
"[""I"", ""was"", ""reading"", ""The"", ""Magic"", ""Monastery"", "":"", ""Analogical"", ""and"", ""Action"", ""Philosophy"", ""of"", ""the"", ""Middle"", ""East"", ""and"", ""Central"", ""Asia"", ""last"", ""night"", ""crazy"", ""stuff"", "".""]","[[3, 17, ""title""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Shades"", ""of"", ""Fear"", ""by"", ""Dara"", ""Ratner"", ""Rochlin"", "".""]","[[6, 8, ""title""], [10, 12, ""author""]]"
"[""My"", ""friend"", ""can't"", ""stop"", ""talking"", ""about"", ""Mobile"", ""Suit"", ""Gundam"", "":"", ""Awakening"", "","", ""Escalation"", "","", ""Confrontation"", "".""]","[[6, 14, ""title""]]"
"[""I"", ""just"", ""finished"", ""Prague"", ""by"", ""Arthur"", ""Phillips"", ""and"", ""wow""]","[[3, 3, ""title""], [5, 6, ""author""]]"
"[""I"", ""heard"", ""Early"", ""Film"", ""Noir"", "":"", ""Greed"", "","", ""Lust"", ""and"", ""Murder"", ""Hollywood"", ""Style"", ""is"", ""a"", ""wild"", ""read"", "","", ""William"", ""Hare"", ""and"", ""Ken"", ""Annakin"", ""did"", ""foreword"", "".""]","[[2, 12, ""title""], [18, 19, ""author""], [21, 22, ""author""]]"
"[""tell"", ""me"", ""about"", ""the"", ""originator"", ""bailey"", "","", ""arthur"", ""scott"", "","", ""1877-1949"", ""and"", ""smith"", "","", ""harry"", ""l"", ""."", ""("", ""illustrator"", "")"", ""["", ""illustrator"", ""]"", "".""]","[{""start"": 5, ""end"": 10, ""label"": ""author""}, {""start"": 12, ""end"": 22, ""label"": ""author""}]"
"[""Tell"", ""Me"", ""More"", ""About"", ""Socrate"", ""Et"", ""Sa"", ""Femme"", "".""]","[{""start"": 4, ""end"": 7, ""label"": ""title""}]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Alice"", ""the"", ""Tennis"", ""Fairy"", "","", ""is"", ""it"", ""any"", ""good"", ""?""]","[[6, 9, ""title""]]"
"[""Reading"", ""From"", ""Beirut"", ""to"", ""Jerusalem"", ""on"", ""the"", ""commute"", "","", ""I"", ""keep"", ""thinking"", ""about"", ""Thomas"", ""L."", ""Friedman"", "".""]","[[1, 4, ""title""], [13, 15, ""author""]]"
"[""Can"", ""you"", ""find"", ""the"", ""manuscript"", ""The"", ""Conflict"", ""written"", ""by"", ""Phillips"", "","", ""David"", ""Graham"", "","", ""1867-1911"", ""?""]","[{""start"": 5, ""end"": 6, ""label"": ""title""}, {""start"": 9, ""end"": 14, ""label"": ""author""}]"
"[""Bierce"", "","", ""Ambrose"", "","", ""1842-1914"", ""?"", ""'"", ""s"", ""work"", "":"", ""The"", ""Devil"", ""'"", ""s"", ""Dictionary"", "".""]","[{""start"": 10, ""end"": 14, ""label"": ""title""}, {""start"": 0, ""end"": 5, ""label"": ""author""}]"
"[""I"", ""'"", ""M"", ""INTERESTED"", ""IN"", ""THE"", ""WHITE"", ""BEES"", "".""]","[{""start"": 5, ""end"": 7, ""label"": ""title""}]"
"[""is"", ""a"", ""collection"", ""of"", ""state-papers"", "","", ""relative"", ""to"", ""the"", ""first"", ""acknowledgment"", ""of"", ""the"", ""sovereignty"", ""of"", ""the"", ""united"", ""states"", ""of"", ""america"", "","", ""and"", ""the"", ""reception"", ""of"", ""their"", ""minister"", ""plenipotentiary"", "","", ""by"", ""their"", ""high"", ""mightinesses"", ""the"", ""states"", ""general"", ""of"", ""the"", ""united"", ""netherlands"", "":"", ""to"", ""which"", ""is"", ""prefixed"", "","", ""the"", ""political"", ""character"", ""of"", ""john"", ""adams"", "","", ""ambassador"", ""plenipotentiary"", ""from"", ""the"", ""states"", ""of"", ""north"", ""america"", "","", ""to"", ""their"", ""high"", ""mightinesses"", ""the"", ""states"", ""general"", ""of"", ""the"", ""united"", ""provinces"", ""of"", ""the"", ""netherlands"", ""."", ""."", ""."", ""likewise"", "","", ""an"", ""essay"", ""on"", ""canon"", ""and"", ""feudal"", ""law"", ""a"", ""good"", ""read"", ""?""]","[{""start"": 1, ""end"": 87, ""label"": ""title""}]"
"[""That"", ""new"", ""book"", "","", ""Python"", ""Programming"", ""For"", ""Beginners"", "":"", ""Quick"", ""And"", ""Easy"", ""Guide"", ""For"", ""Python"", ""Programmers"", ""is"", ""pretty"", ""solid"", "","", ""says"", ""James"", ""P."", ""Long""]","[[4, 15, ""title""], [21, 23, ""author""]]"
"[""Find"", ""Titles"", ""Attributed"", ""To"", ""Roberts"", "","", ""Alexander"", "","", ""-"", ""1620"", "".""]","[{""start"": 4, ""end"": 9, ""label"": ""author""}]"
"[""The"", ""Nightingale's"", ""Song"", ""by"", ""Robert"", ""Timberg"", ""is"", ""a"", ""gritty"", ""look"", ""at"", ""power"", "".""]","[[0, 2, ""title""], [4, 5, ""author""]]"
"[""Just"", ""finished"", ""Eternal"", ""Rider"", ""last"", ""night"", "","", ""Larissa"", ""Ione"", ""totally"", ""knocked"", ""it"", ""out"", ""of"", ""the"", ""park"", "".""]","[[7, 8, ""author""]]"
"[""Searching"", ""For"", ""The"", ""Book"", ""Called"", ""The"", ""Book"", ""Of"", ""Masks"", "".""]","[{""start"": 5, ""end"": 8, ""label"": ""title""}]"
"[""Reading"", ""\u0645\u063a\u0627\u0645\u0631\u0629"", ""\u0627\u0644\u0639\u0642\u0644"", ""\u0627\u0644\u0623\u0648\u0644\u0649"", ""by"", ""\u0641\u0631\u0627\u0633"", ""\u0627\u0644\u0633\u0648\u0627\u062d"", ""on"", ""my"", ""commute""]","[[1, 3, ""title""], [5, 6, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Ramona"", ""Forever"", ""by"", ""Beverly"", ""Cleary"", "","", ""is"", ""it"", ""any"", ""good"", ""?""]","[[6, 7, ""title""], [9, 10, ""author""]]"
"[""where"", ""can"", ""i"", ""find"", ""the"", ""new"", ""revelation"", ""?""]","[{""start"": 4, ""end"": 6, ""label"": ""title""}]"
"[""Requesting"", ""information"", ""on"", ""\u5922\u6eaa\u7b46\u8ac7"", "","", ""Volume"", ""11-16"", ""("", ""Shen"", "","", ""Kuo"", "","", ""1031-1095"", "")"", "".""]","[{""start"": 3, ""end"": 6, ""label"": ""title""}, {""start"": 8, ""end"": 12, ""label"": ""author""}]"
