tokenized_text,ner
"[""I"", ""just"", ""finished"", ""Flash"", ""for"", ""Freedom"", ""and"", ""wow"", ""the"", ""writing"", ""surprised"", ""me"", "".""]","[[3, 5, ""title""]]"
"[""That"", ""old"", ""thing"", ""A"", ""Cry"", ""of"", ""Angels"", ""by"", ""Jeff"", ""Fields"", ""is"", ""actually"", ""pretty"", ""touching"", "".""]","[[3, 6, ""title""], [8, 9, ""author""]]"
"[""I"", ""just"", ""finished"", ""Everything"", ""Is"", ""Illuminated"", "","", ""and"", ""I"", ""can't"", ""stop"", ""thinking"", ""about"", ""Jonathan"", ""Safran"", ""Foer"", "".""]","[[3, 5, ""title""], [13, 15, ""author""]]"
"[""I"", ""keep"", ""hearing"", ""about"", ""The"", ""Mayor"", ""of"", ""Casterbridge"", "","", ""and"", ""I"", ""heard"", ""Keith"", ""Wilson"", ""wrote"", ""the"", ""intro"", "".""]","[[4, 7, ""title""], [12, 13, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""The"", ""Twelve"", ""Dancing"", ""Princesses"", "","", ""is"", ""it"", ""any"", ""good"", ""?""]","[[6, 9, ""title""]]"
"[""I"", ""just"", ""finished"", ""Killing"", ""Mister"", ""Watson"", ""and"", ""wow"", "","", ""what"", ""a"", ""ride"", ""by"", ""Peter"", ""Matthiessen""]","[[3, 5, ""title""], [13, 14, ""author""]]"
"[""My"", ""niece"", ""won't"", ""stop"", ""talking"", ""about"", ""Saskia"", ""the"", ""Salsa"", ""Fairy"", "".""]","[[6, 9, ""title""]]"
"[""Ever"", ""read"", ""Three"", ""Lords"", ""for"", ""Lady"", ""Anne"", ""?"", ""I"", ""found"", ""the"", ""plot"", ""pretty"", ""intriguing"", "".""]","[[2, 6, ""title""]]"
"[""I"", ""just"", ""finished"", ""Cat's"", ""Eye"", ""and"", ""Forever"", ""My"", ""Girl"", ""back"", ""to"", ""back"", "","", ""which"", ""one"", ""should"", ""I"", ""reread"", ""?""]","[[3, 4, ""title""], [6, 8, ""title""]]"
"[""Honestly"", "","", ""that"", ""Essentials"", ""of"", ""Organisational"", ""Behaviour"", ""by"", ""Laurie"", ""J."", ""Mullins"", ""manual"", ""is"", ""tough"", ""but"", ""useful"", "".""]","[[3, 6, ""title""], [8, 10, ""author""]]"
"[""I"", ""just"", ""finished"", ""Black"", ""Souls"", "":"", ""She"", ""had"", ""erased"", ""her"", ""past"", ""only"", ""to"", ""discover"", ""it"", ""was"", ""all"", ""a"", ""lie"", ""."", ""crazy"", ""twist"", ""right"", ""?""]","[[3, 18, ""title""]]"
"[""Sunrise"", ""by"", ""Erin"", ""Hunter"", ""is"", ""getting"", ""a"", ""lot"", ""of"", ""buzz"", "".""]","[[0, 0, ""title""], [2, 3, ""author""]]"
"[""Just"", ""finished"", ""Twelve"", ""Years"", ""a"", ""Slave"", ""by"", ""Solomon"", ""Northup"", ""and"", ""wow"", "".""]","[[2, 5, ""title""], [7, 8, ""author""]]"
"[""That"", ""collection"", "","", ""Alfred"", ""Hitchcock"", ""Presents"", "":"", ""More"", ""Stories"", ""Not"", ""for"", ""the"", ""Nervous"", "","", ""has"", ""a"", ""crazy"", "" lineup"", ""?""]","[[3, 12, ""title""], [20, 21, ""author""], [23, 24, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Listening"", ""Is"", ""an"", ""Act"", ""of"", ""Love"", "":"", ""A"", ""Celebration"", ""of"", ""American"", ""Life"", ""from"", ""the"", ""StoryCorps"", ""Project"", "".""]","[[6, 21, ""title""]]"
"[""I"", ""skimmed"", ""Back"", ""to"", ""the"", ""Streets"", ""by"", ""Treasure"", ""Hernandez"", ""and"", ""it"", ""hits"", ""hard"", "".""]","[[2, 5, ""title""], [7, 8, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Cemetery"", ""Street"", "","", ""is"", ""it"", ""any"", ""good"", ""?""]","[[6, 7, ""title""]]"
"[""Do"", ""you"", ""think"", ""Destino"", ""by"", ""Sienna"", ""Mynx"", ""is"", ""worth"", ""a"", ""read"", "","", ""or"", ""should"", ""I"", ""try"", ""Supernova"", ""?""]","[[3, 3, ""title""], [5, 6, ""author""]]"
"[""I"", ""just"", ""finished"", ""Black"", ""Box"", ""by"", ""Cassia"", ""Leo"", ""and"", ""wow"", "","", ""dark"", ""but"", ""addictive"", "".""]","[[3, 4, ""title""], [6, 7, ""author""]]"
"[""You"", ""should"", ""check"", ""out"", ""Songbird"", "","", ""it's"", ""by"", ""Walter"", ""Zacharius"", ""and"", ""kinda"", ""eerie"", "".""]","[[4, 4, ""title""], [8, 9, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Eleanor"", ""Rigby"", ""by"", ""Douglas"", ""Coupland"", "".""]","[[6, 7, ""title""], [9, 10, ""author""]]"
"[""Just"", ""finished"", ""A"", ""Year"", ""of"", ""Living"", ""Prayerfully"", "":"", ""How"", ""a"", ""Curious"", ""Traveler"", ""Met"", ""the"", ""Pope"", "","", ""Walked"", ""on"", ""Coals"", "","", ""Danced"", ""with"", ""Rabbis"", "","", ""and"", ""Revived"", ""His"", ""Prayer"", ""Life"", "".""]","[[2, 28, ""title""]]"
"[""That"", ""new"", ""paperback"", ""Honor"", ""Student"", ""by"", ""Teresa"", ""Mummert"", ""is"", ""getting"", ""buzz"", "".""]","[[3, 4, ""title""], [6, 7, ""author""]]"
"[""Have"", ""you"", ""read"", ""Angel"", ""of"", ""Everything"", ""by"", ""Catherine"", ""D'Avis"", ""yet"", ""?""]","[[3, 5, ""title""], [7, 8, ""author""]]"
"[""I"", ""just"", ""finished"", ""The"", ""Eye"", ""of"", ""Minds"", "","", ""and"", ""wow"", "","", ""James"", ""Dashner"", ""is"", ""a"", ""solid"", ""author"", "".""]","[[3, 6, ""title""], [11, 12, ""author""]]"
"[""That"", ""new"", ""sci-fi"", ""arc"", ""by"", ""Jelena"", ""Ba\u010di\u0107"", ""Alimpi\u0107"", "","", ""Ringi\u0161pil"", "","", ""is"", ""surprisingly"", ""good"", "".""]","[[9, 9, ""title""], [5, 7, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""The"", ""Love"", ""Of"", ""A"", ""Cowboy"", "","", ""is"", ""it"", ""any"", ""good"", ""?""]","[[6, 10, ""title""]]"
"[""That"", ""Julius"", ""Caesar"", ""by"", ""William"", ""Shakespeare"", "","", ""Roma"", ""Gill"", ""is"", ""a"", ""classic"", ""I"", ""keep"", ""recommending"", ""to"", ""friends"", "".""]","[[1, 2, ""title""], [4, 8, ""author""]]"
"[""Podatek"", ""by"", ""Milena"", ""W\u00f3jtowicz"", ""sounds"", ""wild"", "".""]","[[0, 0, ""title""], [2, 3, ""author""]]"
"[""I"", ""just"", ""finished"", ""Flight"", ""of"", ""the"", ""Raven"", ""by"", ""Morgan"", ""L."", ""Busse"", ""great"", ""read"", "".""]","[[3, 6, ""title""], [8, 10, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""The"", ""Rise"", ""of"", ""Endymion"", "".""]","[[6, 9, ""title""]]"
"[""Just"", ""finished"", ""Dreamwalker"", ""by"", ""Allyson"", ""James"", "","", ""it's"", ""my"", ""new"", ""favorite"", ""author"", "".""]","[[2, 2, ""title""], [4, 5, ""author""]]"
"[""I"", ""just"", ""finished"", ""Mirage"", "","", ""and"", ""wow"", ""the"", ""twists"", ""were"", ""wild"", "".""]","[[3, 3, ""title""]]"
"[""The"", ""Caliph's"", ""House"", "":"", ""A"", ""Year"", ""in"", ""Casablanca"", ""by"", ""Tahir"", ""Shah"", ""is"", ""a"", ""gem"", "".""]","[[0, 7, ""title""], [9, 10, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""X-Men"", "":"", ""The"", ""Dark"", ""Phoenix"", ""Saga"", ""by"", ""Chris"", ""Claremont"", "".""]","[[6, 11, ""title""], [13, 14, ""author""]]"
"[""Have"", ""you"", ""read"", ""A"", ""Kingdom's"", ""Cost"", ""by"", ""J.R."", ""Tomlin"", ""yet"", ""?""]","[[3, 5, ""title""], [7, 8, ""author""]]"
"[""My"", ""kid"", ""won't"", ""stop"", ""asking"", ""about"", ""Danielle"", ""the"", ""Daisy"", ""Fairy""]","[[6, 9, ""title""]]"
"[""I\u2019m"", ""finally"", ""reading"", ""Good"", ""Eats"", "":"", ""The"", ""Early"", ""Years"", ""by"", ""Alton"", ""Brown"", ""and"", ""it's"", ""tasty"", ""as"", ""a"", ""cookbook""]","[[3, 8, ""title""], [11, 12, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Harriet"", ""the"", ""Spy"", ""by"", ""Louise"", ""Fitzhugh"", "".""]","[[6, 8, ""title""], [10, 11, ""author""]]"
"[""I"", ""just"", ""finished"", ""Bittersweet"", ""and"", ""totally"", ""hooked"", "","", ""author"", ""Tyffani"", ""Clark"", ""Kemp"", "".""]","[[3, 3, ""title""], [9, 11, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Queen"", ""of"", ""Shadows"", ""by"", ""Sarah"", ""J."", ""Maas"", "".""]","[[6, 8, ""title""], [10, 12, ""author""]]"
"[""You"", ""should"", ""totally"", ""check"", ""out"", ""Fruits"", ""Basket"", "","", ""Vol."", ""3"", ""by"", ""Natsuki"", ""Takaya"", "".""]","[[5, 9, ""title""], [11, 12, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""The"", ""Last"", ""Song"", ""by"", ""Nicholas"", ""Sparks"", "".""]","[[6, 8, ""title""], [10, 11, ""author""]]"
"[""Could"", ""you"", ""recommend"", ""Until"", ""Fountain"", ""Bridge"", ""?"", ""It's"", ""by"", ""Samantha"", ""Young"", "".""]","[[3, 5, ""title""], [9, 10, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Ramona"", ""Forever"", ""by"", ""Beverly"", ""Cleary"", "","", ""is"", ""it"", ""any"", ""good"", ""?""]","[[6, 7, ""title""], [9, 10, ""author""]]"
"[""Just"", ""finished"", ""Did"", ""You"", ""Know"", ""That"", ""I"", ""Love"", ""You"", ""?"", ""and"", ""wow"", "","", ""Christa"", ""Pierce"", ""nailed"", ""it"", "".""]","[[2, 9, ""title""], [13, 14, ""author""]]"
"[""I"", ""just"", ""started"", ""reading"", ""Guts"", ""and"", ""wow"", "","", ""it's"", ""intense"", "".""]","[[4, 4, ""title""]]"
"[""That"", ""essay"", ""by"", ""Richard"", ""Plant"", ""on"", ""The"", ""Pink"", ""Triangle"", ""was"", ""eye"", ""opening"", "".""]","[[3, 4, ""author""], [6, 8, ""title""]]"
"[""I'm"", ""thinking"", ""of"", ""picking"", ""up"", ""Twitter"", ""for"", ""Writers"", "":"", ""The"", ""Author's"", ""Guide"", ""to"", ""Tweeting"", ""Success"", "","", ""but"", ""Rayne"", ""Hall"", ""is"", ""kinda"", ""intimidating"", "".""]","[[5, 14, ""title""], [17, 18, ""author""]]"
"[""I"", ""keep"", ""hearing"", ""Administrative"", ""Control"", ""by"", ""Mandy"", ""M."", ""Roth"", "","", ""is"", ""it"", ""any"", ""good"", ""?""]","[[3, 4, ""title""], [6, 8, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""A"", ""Sibling"", ""in"", ""Always"", ""by"", ""Ernest"", ""Gordon"", ""Taulbee"", "".""]","[[6, 9, ""title""], [11, 13, ""author""]]"
"[""I"", ""just"", ""finished"", ""Liam"", "":"", ""Midsummer's"", ""Magic"", ""Bonus"", ""Book"", ""and"", ""it's"", ""wild"", "".""]","[[3, 8, ""title""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Vathek"", "";"", ""is"", ""it"", ""worth"", ""reading"", ""?""]","[[6, 6, ""title""]]"
"[""I"", ""keep"", ""hearing"", ""Castle"", ""Waiting"", "","", ""Vol."", ""1"", ""by"", ""Linda"", ""Medley""]","[[3, 7, ""title""], [9, 10, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Neverland"", ""by"", ""Anna"", ""Katmore""]","[[6, 6, ""title""]]"
"[""I"", ""might"", ""re-read"", ""Let"", ""the"", ""Storm"", ""Break"", ""by"", ""Shannon"", ""Messenger"", ""when"", ""the"", ""commute"", ""is"", ""long""]","[[3, 6, ""title""], [8, 9, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""The"", ""Raven"", ""King"", "","", ""I"", ""think"", ""Nora"", ""Sakavic"", ""is"", ""underrated"", "".""]","[[6, 8, ""title""], [12, 13, ""author""]]"
"[""On"", ""my"", ""commute"", ""I\u2019m"", ""reading"", ""High"", ""Tide"", ""in"", ""Tucson"", ""and"", ""I"", ""really"", ""like"", ""Barbara"", ""Kingsolver"", "".""]","[[5, 8, ""title""], [13, 14, ""author""]]"
"[""Just"", ""finished"", ""How"", ""the"", ""Grinch"", ""Stole"", ""Christmas"", ""!"", ""with"", ""the"", ""kids"", "","", ""Dr."", ""Seuss"", ""never"", ""gets"", ""old"", "".""]","[[2, 6, ""title""], [12, 13, ""author""]]"
"[""You"", ""should"", ""check"", ""out"", ""The"", ""Vampire"", ""Hunter's"", ""Daughter"", ""by"", ""Jennifer"", ""Malone"", ""Wright"", ""("", ""Goodreads"", ""Author"", "")""]","[[4, 7, ""title""], [9, 15, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Chaos"", ""in"", ""Death"", "","", ""is"", ""it"", ""any"", ""good"", ""?""]","[[6, 8, ""title""]]"
"[""I"", ""heard"", ""Chaos"", ""in"", ""Death"", ""by"", ""J.D."", ""Robb"", ""is"", ""a"", ""favorite"", ""of"", ""my"", ""friend"", "".""]","[[2, 4, ""title""], [6, 7, ""author""]]"
"[""My"", ""friend"", ""won't"", ""shut"", ""up"", ""about"", ""Teen"", ""Titans"", "":"", ""Raven"", ""by"", ""Kami"", ""Garcia"", "".""]","[[6, 9, ""title""], [11, 12, ""author""]]"
"[""I"", ""bumped"", ""into"", ""Upstate"", ""Mob"", ""Story"", ""and"", ""Dennis"", ""Heretz"", ""at"", ""the"", ""store"", "".""]","[[3, 5, ""title""], [7, 9, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""mentioning"", ""Claim"", ""to"", ""Fame"", ""by"", ""Margaret"", ""Peterson"", ""Haddix"", "".""]","[[5, 7, ""title""], [9, 11, ""author""]]"
"[""That"", ""book"", ""On"", ""Fortune's"", ""Wheel"", ""by"", ""Cynthia"", ""Voigt"", ""is"", ""perfect"", ""for"", ""a"", ""commute"", ""read"", "".""]","[[2, 4, ""title""], [6, 7, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Guns"", "","", ""Germs"", "","", ""and"", ""Steel"", "":"", ""The"", ""Fates"", ""of"", ""Human"", ""Societies"", ""by"", ""Jared"", ""Diamond"", "".""]","[[6, 17, ""title""], [19, 20, ""author""]]"
"[""Who"", ""wrote"", ""Early"", ""Film"", ""Noir"", "":"", ""Greed"", "","", ""Lust"", ""and"", ""Murder"", ""Hollywood"", ""Style"", ""again"", ""?""]","[[2, 12, ""title""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""The"", ""Disuniting"", ""of"", ""America"", "":"", ""Reflections"", ""on"", ""a"", ""Multicultural"", ""Society""]","[[6, 9, ""title""]]"
"[""Just"", ""finished"", ""Detr\u00e1s"", ""del"", ""cristal"", ""by"", ""Mayte"", ""Esteban"", "","", ""thoughts"", ""?""]","[[2, 4, ""title""], [6, 7, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""The"", ""Marriage"", ""Diaries"", ""by"", ""Erika"", ""Wilde"", "".""]","[[6, 8, ""title""], [10, 11, ""author""]]"
"[""I"", ""grabbed"", ""The"", ""Octunnumi"", ""Fosbit"", ""Files"", ""Prologue"", ""by"", ""Trevor"", ""Alan"", ""Foris"", ""last"", ""night"", "".""]","[[2, 6, ""title""], [8, 10, ""author""]]"
"[""I"", ""think"", ""B."", ""Andreas"", ""Bull-Hansen"", ""wrote"", ""Lushons"", ""plater"", "".""]","[[2, 4, ""author""], [6, 7, ""title""]]"
"[""That"", ""buzz"", ""around"", ""The"", ""Dirty"", ""Truth"", ""by"", ""T.J."", ""Anderson"", ""has"", ""me"", ""curious"", "".""]","[[3, 5, ""title""], [7, 8, ""author""]]"
"[""I"", ""just"", ""started"", ""reading"", ""The"", ""Monkey's"", ""Raincoat"", ""and"", ""wow"", "","", ""Robert"", ""Crais"", ""nails"", ""suspense"", "".""]","[[4, 6, ""title""]]"
"[""You"", ""should"", ""totally"", ""check"", ""out"", ""The"", ""Princess"", ""Saves"", ""Herself"", ""in"", ""This"", ""One"", ""by"", ""Amanda"", ""Lovelace"", "".""]","[[5, 11, ""title""], [13, 14, ""author""]]"
"[""I"", ""just"", ""finished"", ""Welcome"", ""to"", ""the"", ""Machine"", "":"", ""Science"", "","", ""Surveillance"", "","", ""and"", ""the"", ""Culture"", ""of"", ""Control"", ""and"", ""wow"", ""that"", ""stuff"", ""about"", ""control"", ""really"", ""hit"", "".""]","[[3, 16, ""title""]]"
"[""I"", ""heard"", ""The"", ""End"", ""by"", ""Charlie"", ""Higson"", ""is"", ""getting"", ""adapted"", "","", ""is"", ""that"", ""true"", ""?""]","[[2, 3, ""title""], [5, 6, ""author""]]"
"[""I"", ""just"", ""finished"", ""reading"", ""Tsubasa"", "":"", ""RESERVoir"", ""CHRoNiCLE"", "","", ""Vol."", ""18"", "","", ""and"", ""it's"", ""stunning"", "".""]","[[4, 10, ""title""]]"
"[""Honestly"", "","", ""Deutschland"", ""schafft"", ""sich"", ""ab"", ""is"", ""still"", ""controversial"", ""for"", ""Thilo"", ""Sarrazin"", "".""]","[[2, 5, ""title""], [10, 11, ""author""]]"
"[""That"", ""scene"", ""in"", ""Wizard"", ""at"", ""Large"", ""had"", ""me"", ""laughing"", "","", ""Jim"", ""Butcher"", ""really"", ""nailed"", ""it"", "".""]","[[3, 5, ""title""], [10, 11, ""author""]]"
"[""Le"", ""Club"", ""des"", ""incorrigibles"", ""optimistes"", ""is"", ""such"", ""a"", ""wild"", ""ride"", "","", ""and"", ""I"", ""love"", ""Jean-Michel"", ""Guenassia"", "".""]","[[0, 4, ""title""], [14, 15, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""The"", ""Rise"", ""of"", ""Kyoshi""]","[[6, 9, ""title""]]"
"[""Who"", ""wrote"", ""The"", ""Last"", ""Girl"", ""again"", ""?""]","[[2, 4, ""title""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""The"", ""Talisman"", ""by"", ""Lynne"", ""Ewing"", "".""]","[[6, 7, ""title""], [9, 10, ""author""]]"
"[""That"", ""Bangla"", ""title"", ""\u09ae\u09bf\u09b8\u09bf\u09b0"", ""\u0986\u09b2\u09bf"", ""\u0985\u09ae\u09a8\u09bf\u09ac\u09be\u09b8"", ""\u09e7"", ""by"", ""Humayun"", ""Ahmed"", ""is"", ""fascinating"", "".""]","[[3, 6, ""title""], [8, 9, ""author""]]"
"[""You"", ""should"", ""totally"", ""check"", ""out"", ""Every"", ""Last"", ""Word"", ""by"", ""Tamara"", ""Ireland"", ""Stone"", ""("", ""Goodreads"", ""Author"", "")"", "".""]","[[5, 7, ""title""], [9, 15, ""author""]]"
"[""I"", ""am"", ""reading"", ""Saving"", ""CeeCee"", ""Honeycutt"", ""by"", ""Beth"", ""Hoffman"", ""and"", ""it"", ""is"", ""getting"", ""intense"", "".""]","[[3, 5, ""title""], [7, 8, ""author""]]"
"[""I"", ""loved"", ""Saving"", ""Wild"", "":"", ""Inspiration"", ""from"", ""50"", ""Leading"", ""Conservationists"", "","", ""and"", ""Jane"", ""Goodall"", ""wrote"", ""the"", ""foreword"", "".""]","[[2, 9, ""title""], [12, 13, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""A"", ""Breath"", ""of"", ""Fresh"", ""Air"", ""by"", ""Amulya"", ""Malladi"", "".""]","[[6, 10, ""title""], [12, 13, ""author""]]"
"[""I"", ""just"", ""checked"", ""out"", ""The"", ""Fundamentals"", ""of"", ""Long"", ""Distance"", ""Relationship"", "":"", ""Things"", ""You"", ""Need"", ""to"", ""Know"", ""About"", ""Long"", ""Distance"", ""Relationships"", ""("", ""LDR"", "")"", ""and"", ""Tips"", ""How"", ""to"", ""Make"", ""it"", ""Work"", ""from"", ""Lisa"", ""Daniel"", "".""]","[[4, 32, ""title""], [31, 32, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Smoke"", ""and"", ""Mirrors"", "":"", ""Short"", ""Fiction"", ""and"", ""Illusions"", "".""]","[[6, 13, ""title""]]"
"[""Who"", ""wrote"", ""Bagaikan"", ""Khadijah"", ""di"", ""Hati"", ""Rasulullah"", ""again"", ""?""]","[[2, 6, ""title""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""White"", ""Fire"", ""by"", ""Douglas"", ""Preston"", ""and"", ""Lincoln"", ""Child"", "".""]","[[6, 7, ""title""], [9, 10, ""author""], [12, 13, ""author""]]"
"[""I"", ""keep"", ""thinking"", ""The"", ""American"", ""is"", ""a"", ""weird"", ""but"", ""great"", ""read"", "","", ""Henry"", ""James"", ""is"", ""the"", ""author"", ""I"", ""guess"", "".""]","[[3, 4, ""title""], [12, 13, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""mentioning"", ""The"", ""Moonstone"", ""by"", ""Wilkie"", ""Collins"", "","", ""Carolyn"", ""G."", ""Heilbrun"", ""("", ""Introduction"", "")"", "".""]","[[5, 5, ""title""], [8, 9, ""author""], [11, 13, ""author""]]"
"[""Dungeon"", ""Crawlin'"", ""Fools"", ""is"", ""a"", ""blast"", "","", ""Rich"", ""Burlew"", ""totally"", ""nailed"", ""the"", ""humor"", "".""]","[[0, 2, ""title""], [7, 8, ""author""]]"
"[""I"", ""just"", ""started"", ""Travels"", ""with"", ""Herodotus"", ""and"", ""wow"", "","", ""the"", ""travelogue"", ""vibe"", ""is"", ""unreal"", "".""]","[[3, 5, ""title""]]"
"[""My"", ""friend"", ""recommended"", ""Seas"", ""by"", ""Colleen"", ""Oakes"", "","", ""sounds"", ""fun"", "".""]","[[3, 3, ""title""], [5, 6, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Pilgrim"", ""by"", ""Timothy"", ""Findley"", "".""]","[[6, 6, ""title""], [8, 9, ""author""]]"
"[""I"", ""read"", ""Saturday"", ""the"", ""Rabbi"", ""Went"", ""Hungry"", ""last"", ""month"", "","", ""and"", ""the"", ""humor"", ""surprised"", ""me"", "".""]","[[2, 6, ""title""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Witch's"", ""Bell"", ""6"", "","", ""is"", ""it"", ""any"", ""good"", ""?""]","[[6, 8, ""title""]]"
"[""I"", ""couldn't"", ""finish"", ""Witch's"", ""Bell"", ""6"", ""by"", ""Odette"", ""C."", ""Bell"", "","", ""not"", ""my"", ""cup"", ""of"", ""tea"", "".""]","[[3, 5, ""title""], [7, 9, ""author""]]"
"[""Just"", ""finished"", ""Untold"", ""by"", ""Sarah"", ""Rees"", ""Brennan"", "","", ""and"", ""I'm"", ""obsessed"", "".""]","[[2, 2, ""title""], [4, 6, ""author""]]"
"[""Astrid"", ""and"", ""Veronika"", ""is"", ""a"", ""gentle"", ""read"", "","", ""Linda"", ""Olsson"", ""does"", ""not"", ""disappoint"", "".""]","[[0, 2, ""title""], [8, 9, ""author""]]"
"[""I'm"", ""planning"", ""to"", ""reread"", ""New"", ""England"", ""Witch"", ""Chronicles"", ""by"", ""Chelsea"", ""Luna"", ""this"", ""weekend"", "".""]","[[4, 7, ""title""], [9, 10, ""author""]]"
"[""The"", ""Modern"", ""Mind"", "":"", ""An"", ""Intellectual"", ""History"", ""of"", ""the"", ""20th"", ""Century"", ""is"", ""fascinating"", "","", ""Peter"", ""Watson"", ""does"", ""a"", ""great"", ""job"", "".""]","[[0, 10, ""title""], [14, 15, ""author""]]"
"[""I"", ""just"", ""finished"", ""Girl"", ""on"", ""the"", ""Golden"", ""Coin"", ""and"", ""wow"", "","", ""Marci"", ""Jefferson"", ""nails"", ""the"", ""voice"", "".""]","[[3, 7, ""title""], [11, 12, ""author""]]"
"[""That"", ""Mudras"", "":"", ""Yoga"", ""in"", ""Your"", ""Hands"", ""really"", ""surprised"", ""me"", "","", ""Gertrud"", ""Hirschi"", ""did"", ""a"", ""great"", ""job"", ""explaining"", "".""]","[[1, 6, ""title""], [11, 12, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""The"", ""Postmistress"", ""by"", ""Sarah"", ""Blake""]","[[6, 7, ""title""], [9, 10, ""author""]]"
"[""Has"", ""anyone"", ""read"", ""Aquamarine"", ""by"", ""Alice"", ""Hoffman"", ""?"", ""I"", ""loved"", ""it""]","[[3, 3, ""title""], [5, 6, ""author""]]"
